name,handle_or_url,category,birth_year,platform,known_for,source_list
Doublelift,https://en.wikipedia.org/wiki/Doublelift,Esports pro,1993,League of Legends,NA LCS bot laner; longest-tenured pro,
Dyrus,https://en.wikipedia.org/wiki/Dyrus,Esports pro,1989,League of Legends,Early NA LCS top laner; TSM legend,
Sneaky,https://en.wikipedia.org/wiki/Sneaky_(gamer),Esports pro,1994,League of Legends,NA LCS bot laner; C9 world championship semifinalist,
WildTurtle,https://en.wikipedia.org/wiki/WildTurtle,Esports pro,1994,League of Legends,NA LCS bot laner; TSM; early LCS star,
Meteos,https://en.wikipedia.org/wiki/Meteos_(gamer),Esports pro,1993,League of Legends,NA LCS jungler; C9; early LCS star,
xPeke,https://en.wikipedia.org/wiki/XPeke,Esports pro,1992,League of Legends,European LoL legend; backdoor play; Origen founder,
s1mple,https://en.wikipedia.org/wiki/S1mple,Esports pro,1998,CS:GO,Greatest CS:GO player; major winner; HLTV #1 multiple times,
ZywOo,https://en.wikipedia.org/wiki/ZywOo,Esports pro,2000,CS:GO,French CS:GO prodigy; HLTV #1 at 19,
NiKo,https://en.wikipedia.org/wiki/NiKo_(gamer),Esports pro,1997,CS:GO,Bosnian-Serb CS:GO star; elite rifler,
device,https://en.wikipedia.org/wiki/Device_(gamer),Esports pro,1995,CS:GO,Danish CS:GO AWPer; 4-time major winner with Astralis,
coldzera,https://en.wikipedia.org/wiki/Coldzera,Esports pro,1991,CS:GO,Brazilian CS:GO star; back-to-back HLTV #1,
FalleN,https://en.wikipedia.org/wiki/FalleN,Esports pro,1991,CS:GO,Brazilian CS:GO godfather; major winner; gaming school,
