name,handle_or_url,category,birth_year,platform,known_for,source_list
Kurtis Conner,https://en.wikipedia.org/wiki/Kurtis_Conner,Content creator,1994,YouTube,Comedy commentary; Vine alum,
Michael Reeves,https://en.wikipedia.org/wiki/Michael_Reeves,Content creator,1997,YouTube,Tech/comedy content; OfflineTV member,
Sommer Ray,https://en.wikipedia.org/wiki/Sommer_Ray,Instagram influencer,1996,Instagram,Fitness model; massive Instagram following; brand empire,
JoJo Siwa,https://en.wikipedia.org/wiki/JoJo_Siwa,Content creator,2003,YouTube/TV,Dance Moms; YouTube personality; music; brand empire,
Maddie Ziegler,https://en.wikipedia.org/wiki/Maddie_Ziegler,Content creator,2002,YouTube/TV,Dance Moms star; Sia music videos; actress,
Mackenzie Ziegler,https://en.wikipedia.org/wiki/Mackenzie_Ziegler,Content creator,2004,YouTube/TV,Dance Moms; music career; social media,
Chloe Lukasiak,https://en.wikipedia.org/wiki/Chloe_Lukasiak,Content creator,2001,YouTube/TV,Dance Moms; actress; YouTube,
Bhad Bhabie,https://en.wikipedia.org/wiki/Bhad_Bhabie,Content creator,2003,Internet/TV,Cash me outside meme; rap career; OnlyFans millionaire,
Millie Bobby Brown,https://en.wikipedia.org/wiki/Millie_Bobby_Brown,Digital-native celebrity,2004,Netflix/Instagram,Stranger Things; social media; producer,
Finn Wolfhard,https://en.wikipedia.org/wiki/Finn_Wolfhard,Digital-native celebrity,2002,Netflix/Instagram,Stranger Things; social media; music,
Jenna Ortega,https://en.wikipedia.org/wiki/Jenna_Ortega,Digital-native celebrity,2002,Disney/Instagram,Disney Channel; Wednesday; social media following,
Zendaya,https://en.wikipedia.org/wiki/Zendaya,Digital-native celebrity,1996,Disney/Instagram,Disney Channel; Euphoria; social media icon,
