name,handle_or_url,category,birth_year,platform,known_for,source_list
ScottTheWoz,https://en.wikipedia.org/wiki/ScottTheWoz,Content creator,1997,YouTube,Gaming commentary; unique editing style,
Arin Hanson,https://en.wikipedia.org/wiki/Arin_Hanson,Content creator,1987,YouTube,Egoraptor; Game Grumps co-founder; animator,
JonTron,https://en.wikipedia.org/wiki/JonTron,Content creator,1990,YouTube,Game reviews; comedy; JonTronShow,
ProJared,https://en.wikipedia.org/wiki/ProJared,Content creator,1985,YouTube,Game reviews; D&D content,
Grace Helbig,https://en.wikipedia.org/wiki/Grace_Helbig,Content creator,1985,YouTube,DailyGrace; YouTube pioneer; E! talk show,
Hannah Hart,https://en.wikipedia.org/wiki/Hannah_Hart,Content creator,1986,YouTube,My Drunk Kitchen; YouTube pioneer; author,
Timothy DeLaGhetto,https://en.wikipedia.org/wiki/Timothy_DeLaGhetto,Content creator,1986,YouTube,Early YouTube comedian; Wild 'N Out cast,
Ricky Dillon,https://en.wikipedia.org/wiki/Ricky_Dillon,Content creator,1992,YouTube,O2L member; music career; YouTube vlog pioneer,
Ryland Adams,https://en.wikipedia.org/wiki/Ryland_Adams,Content creator,1991,YouTube,YouTube personality; Shane Dawson partner; podcast,
Garrett Watts,https://en.wikipedia.org/wiki/Garrett_Watts,Content creator,1989,YouTube,YouTube comedy; Shane Dawson collaborator,
Andrew Siwicki,https://en.wikipedia.org/wiki/Andrew_Siwicki,Content creator,1991,YouTube,YouTube cinematographer and creator; Shane Dawson team,
Rachel Ballinger,https://en.wikipedia.org/wiki/Rachel_Ballinger,Content creator,1991,YouTube,YouTube vlogger; Colleen Ballinger sister,
