name,handle_or_url,category,birth_year,platform,known_for,source_list
Nihachu,https://en.wikipedia.org/wiki/Nihachu,Content creator,2001,Twitch,Minecraft streamer; Dream SMP member,
Quackity,https://en.wikipedia.org/wiki/Quackity,Content creator,2000,YouTube/Twitch,Minecraft content; Dream SMP; Toontown raids,
Karl Jacobs,https://en.wikipedia.org/wiki/Karl_Jacobs,Content creator,1998,YouTube/Twitch,MrBeast team member; Minecraft content; Dream SMP,
Chris Tyson,https://en.wikipedia.org/wiki/Chris_Tyson,Content creator,1996,YouTube,MrBeast team member; long-time collaborator,
Corpse Husband,https://en.wikipedia.org/wiki/Corpse_Husband,Content creator,1997,YouTube,Faceless horror-narration YouTuber; music; Among Us,
Ninja,https://en.wikipedia.org/wiki/Ninja_(streamer),Twitch streamer,1991,Twitch,Most-followed Twitch streamer; Fortnite streaming pioneer,
Shroud,https://en.wikipedia.org/wiki/Shroud_(streamer),Twitch streamer,1994,Twitch,FPS streamer; CS:GO pro turned full-time streamer,
Tfue,https://en.wikipedia.org/wiki/Tfue,Twitch streamer,1998,Twitch,Fortnite streamer; FaZe Clan; legal battle with FaZe,
Pokimane,https://en.wikipedia.org/wiki/Pokimane,Twitch streamer,1996,Twitch,Most-followed female Twitch streamer; OfflineTV,
xQc,https://en.wikipedia.org/wiki/XQc,Twitch streamer,1995,Twitch,Overwatch pro turned mega-streamer; high-energy content,
Asmongold,https://en.wikipedia.org/wiki/Asmongold,Twitch streamer,1990,Twitch,World of Warcraft streamer; MMO category king,
Summit1g,https://en.wikipedia.org/wiki/Summit1g,Twitch streamer,1987,Twitch,Long-running variety streamer; CS:GO and Sea of Thieves,
