name,handle_or_url,category,birth_year,platform,known_for,source_list
Armada,https://en.wikipedia.org/wiki/Armada_(gamer),Esports pro,1993,Super Smash Bros,Swedish Melee legend; Fox/Peach main,
Mang0,https://en.wikipedia.org/wiki/Mang0,Esports pro,1990,Super Smash Bros,Melee legend; multiple EVO wins; streamer,
Mew2King,https://en.wikipedia.org/wiki/Mew2King,Esports pro,1989,Super Smash Bros,Melee and Brawl legend; data-driven player,
Bugha,https://en.wikipedia.org/wiki/Bugha_(gamer),Esports pro,2002,Fortnite,Fortnite World Cup solo champion at 16,
Clix,https://en.wikipedia.org/wiki/Clix_(gamer),Esports pro,2005,Fortnite,Fortnite pro; NRG; massive streaming following,
TenZ,https://en.wikipedia.org/wiki/TenZ,Esports pro,2001,Valorant,Valorant star; Sentinels; CS:GO crossover,
Sinatraa,https://en.wikipedia.org/wiki/Sinatraa,Esports pro,2000,Overwatch/Valorant,OW League MVP; Valorant pro,
Nairo,https://en.wikipedia.org/wiki/Nairo_(gamer),Esports pro,1996,Super Smash Bros,Smash 4 top player; major tournament winner,
Lil Nas X,https://en.wikipedia.org/wiki/Lil_Nas_X,Music artist,1999,Internet/TikTok,Old Town Road viral TikTok breakout; Billboard record,
Post Malone,https://en.wikipedia.org/wiki/Post_Malone,Music artist,1995,Internet/SoundCloud,White Iverson SoundCloud breakout; mainstream rap-pop star,
Doja Cat,https://en.wikipedia.org/wiki/Doja_Cat,Music artist,1995,Internet/SoundCloud,Moo! viral video; TikTok-driven hits; Grammy winner,
Clairo,https://en.wikipedia.org/wiki/Clairo,Music artist,1998,YouTube/Bandcamp,Pretty Girl DIY bedroom-pop video; lo-fi pioneer,
