name,handle_or_url,category,birth_year,platform,known_for,source_list
TaySon,https://liquipedia.net/fortnite/TaySon,Esports,2003,Fortnite,3x FNCS champion; top Fortnite competitive player; Slovenian,esports_pros
Benjyfishy,https://en.wikipedia.org/wiki/Benjyfishy,Esports,2004,Fortnite,Fortnite pro for NRG/MOO; large Twitch/YouTube following; FNCS champion; turned pro at 14,esports_pros;streamers_content_creators
Mongraal,https://en.wikipedia.org/wiki/Mongraal,Esports,2004,Fortnite,Fortnite pro for FaZe Clan; FNCS champion; one of youngest Fortnite pros; large following,esports_pros;streamers_content_creators
Arkhrhm,https://liquipedia.net/rocketleague/Archie,Esports,2003,Rocket League,Rocket League pro; RLCS champion; one of top RL players,esports_pros
Firstkiller,https://liquipedia.net/rocketleague/Firstkiller,Esports,2003,Rocket League,Rocket League pro; RLCS champion; top NA player,esports_pros
Rise,https://liquipedia.net/rocketleague/Rise,Esports,2002,Rocket League,Rocket League pro; RLCS world champion,esports_pros
Royce Branning,https://www.forbes.com/30-under-30/2025/social-media/,AI/Tech Founder,1996,Web,Co-founder Clearspace (screen time app); Forbes 30U30 2025 Social Media,forbes_30u30
Oliver Hill,https://www.forbes.com/30-under-30/2025/social-media/,AI/Tech Founder,1997,Web,Co-founder Clearspace (screen time app); Forbes 30U30 2025 Social Media,forbes_30u30
Sara Alfageeh,https://www.forbes.com/30-under-30/2024/games/,Gaming/Content Creator,1996,Web,Creator FaZe Clan; Forbes 30U30 2024 Games,forbes_30u30;streamers_content_creators
Cody Conrod,https://www.forbes.com/30-under-30/2024/games/,Gaming,1998,Web,Game Designer Wizards of the Coast; Forbes 30U30 2024 Games,forbes_30u30
Dylan Johnson,https://www.forbes.com/30-under-30/2024/games/,Gaming/Content Creator,1998,YouTube,Minecraft/Roblox game creator; Forbes 30U30 2024 Games; large following,forbes_30u30;streamers_content_creators
Baier-Lentz,https://www.forbes.com/30-under-30/2024/games/,Gaming,1997,Web,Founder Good Gamers; Forbes 30U30 2024 Games,forbes_30u30
