name,handle_or_url,category,birth_year,platform,known_for,source_list
Fuslie,https://en.wikipedia.org/wiki/Fuslie,Twitch streamer,1992,Twitch,Among Us era; OfflineTV-adjacent; variety streamer,
FaZe Banks,https://en.wikipedia.org/wiki/FaZe_Banks,Content creator,1991,YouTube,FaZe Clan COO; gaming lifestyle content,
FaZe Rug,https://en.wikipedia.org/wiki/FaZe_Rug,Content creator,1996,YouTube,FaZe Clan member; gaming and vlog content,
FaZe Kay,https://en.wikipedia.org/wiki/FaZe_Kay,Content creator,1994,YouTube,FaZe Clan leader; gaming content,
FaZe Jarvis,https://en.wikipedia.org/wiki/FaZe_Jarvis,Content creator,2001,YouTube,FaZe Clan; Fortnite content; banned from Fortnite,
FaZe Adapt,https://en.wikipedia.org/wiki/FaZe_Adapt,Content creator,1995,YouTube,FaZe Clan member; gaming content,
FaZe Rain,https://en.wikipedia.org/wiki/FaZe_Rain,Content creator,1996,YouTube,FaZe Clan member; gaming content,
FaZe Blaze,https://en.wikipedia.org/wiki/FaZe_Blaze,Content creator,1996,YouTube,FaZe Clan member; gaming content,
FaZe Jev,https://en.wikipedia.org/wiki/FaZe_Jev,Content creator,1993,YouTube,FaZe Clan member; FPS gaming content,
FaZe Temperrr,https://en.wikipedia.org/wiki/FaZe_Temperrr,Content creator,1992,YouTube,FaZe Clan co-founder; gaming lifestyle,
FaZe Apex,https://en.wikipedia.org/wiki/FaZe_Apex,Content creator,1996,YouTube,FaZe Clan co-founder; gaming content,
Faker,https://en.wikipedia.org/wiki/Faker_(gamer),Esports pro,1996,League of Legends,Greatest LoL player of all time; world champion at 17,
