name,handle_or_url,category,birth_year,platform,known_for,source_list
Cavetown,https://en.wikipedia.org/wiki/Cavetown_(musician),Music artist,1998,YouTube,Trans bedroom-pop; Boys Will Be Bugs; YouTube-built following,
Girl in Red,https://en.wikipedia.org/wiki/Girl_in_Red,Music artist,1999,YouTube/Bandcamp,Norwegian queer bedroom-pop; internet cult following,
beabadoobee,https://en.wikipedia.org/wiki/Beabadoobee,Music artist,2000,YouTube,Coffee viral; Filipino-British indie; TikTok-driven,
Steve Lacy,https://en.wikipedia.org/wiki/Steve_Lacy_(musician),Music artist,1998,Internet,Bad Habit TikTok #1; Internet Money producer,
Daniel Caesar,https://en.wikipedia.org/wiki/Daniel_Caesar,Music artist,1995,SoundCloud/YouTube,Best Part; Grammy winner; internet-built R&B,
Brent Faiyaz,https://en.wikipedia.org/wiki/Brent_Faiyaz,Music artist,1995,SoundCloud/Internet,Sonder; R&B internet breakout,
Khalid,https://en.wikipedia.org/wiki/Khalid_(singer),Music artist,1998,SoundCloud/Internet,Location viral; Grammy-nominated; teen debut,
H.E.R.,https://en.wikipedia.org/wiki/H.E.R.,Music artist,1997,YouTube/Internet,YouTube-built R&B; Grammy and Oscar winner,
Summer Walker,https://en.wikipedia.org/wiki/Summer_Walker,Music artist,1996,Internet/Streaming,Streaming-era R&B; Girls Need Love viral,
Megan Thee Stallion,https://en.wikipedia.org/wiki/Megan_Thee_Stallion,Music artist,1995,YouTube/Internet,Hot Girl Summer; TikTok-driven; Grammy winner,
Tinashe,https://en.wikipedia.org/wiki/Tinashe,Music artist,1993,YouTube/Internet,YouTube covers; R&B pop; 2 On breakout,
Kehlani,https://en.wikipedia.org/wiki/Kehlani,Music artist,1995,YouTube/SoundCloud,SoundCloud R&B; You Should Be Here mixtape,
