name,handle_or_url,category,birth_year,platform,known_for,source_list
Cuco,https://en.wikipedia.org/wiki/Cuco_(musician),Music artist,1999,YouTube/SoundCloud,Chicano bedroom-pop; bilingual internet breakout,
Boy Pablo,https://en.wikipedia.org/wiki/Boy_Pablo,Music artist,1999,YouTube/Spotify,Norwegian bedroom-pop; Everytime algorithmic viral hit,
Rex Orange County,https://en.wikipedia.org/wiki/Rex_Orange_County,Music artist,1998,YouTube/SoundCloud,UK bedroom-pop; Tyler the Creator collaboration,
24kGoldn,https://en.wikipedia.org/wiki/24kGoldn,Music artist,2000,TikTok/Internet,Mood TikTok viral hit; Billboard #1,
Jack Harlow,https://en.wikipedia.org/wiki/Jack_Harlow,Music artist,1998,YouTube/Internet,Whats Poppin TikTok viral; mainstream rap crossover,
Roddy Ricch,https://en.wikipedia.org/wiki/Roddy_Ricch,Music artist,1998,YouTube/SoundCloud,The Box TikTok viral; Grammy winner,
PinkPantheress,https://en.wikipedia.org/wiki/PinkPantheress,Music artist,2001,TikTok,TikTok-produced bedroom-pop; sample-driven viral hits,
Tate McRae,https://en.wikipedia.org/wiki/Tate_McRae,Music artist,2003,YouTube/TikTok,you broke me first viral; dancer turned pop star,
Olivia Rodrigo,https://en.wikipedia.org/wiki/Olivia_Rodrigo,Music artist,2003,Internet/TikTok,drivers license viral; TikTok-driven debut album,
Conan Gray,https://en.wikipedia.org/wiki/Conan_Gray,Music artist,1998,YouTube,YouTube vlog-turned-pop star; Heather TikTok hit,
Lauv,https://en.wikipedia.org/wiki/Lauv,Music artist,1994,SoundCloud/Spotify,I Like Me Better; streaming-era pop breakout,
Powfu,https://en.wikipedia.org/wiki/Powfu,Music artist,1999,TikTok/SoundCloud,Death Bed TikTok viral; lo-fi bedroom pop,
