name,handle_or_url,category,birth_year,platform,known_for,source_list
Ed Beccle,https://www.forbes.com/30-under-30/2022/europe/technology/,AI/Tech Founder,1998,Web,"Co-founder Glorify (prayer app); 4M subscribers; $84M raised from a16z, SoftBank; Thiel Fellow; Forbes 30U30 Europe 2022",forbes_30u30
Fabian Kamberi,https://www.forbes.com/30-under-30/2025/europe/,AI/Tech Founder,1999,Web,Founder Slay (game Pengu); 10M users; $20M raised from Accel; Forbes 30U30 Europe 2025,forbes_30u30
Frederic Boesel,https://www.forbes.com/30-under-30/2025/europe/technology/,AI/Tech Founder,1996,Web,Co-founder Black Forest Labs (AI image gen); $31M seed from a16z; integrated into Mistral AI; Forbes 30U30 Europe 2025,forbes_30u30
Jonas Muller,https://www.forbes.com/30-under-30/2025/europe/technology/,AI/Tech Founder,1996,Web,Co-founder Black Forest Labs (AI image gen); $31M seed from a16z; Forbes 30U30 Europe 2025,forbes_30u30
Risa Feng,https://www.forbes.com/30-under-30/2022/asia/consumer-technology/,AI/Tech Founder,1995,Web,Co-founder BUD (metaverse app); Forbes 30U30 Asia 2022 Consumer Tech,forbes_30u30
Daniel Hanover,https://www.forbes.com/30-under-30/2023/enterprise-technology/,AI/Tech Founder,1997,Web,Co-founder Dandy (dentistry software); 700 employees; Forbes 30U30 2023 Enterprise Tech,forbes_30u30
Toni Oloko,https://www.forbes.com/30-under-30/2023/enterprise-technology/,AI/Tech Founder,1996,Web,Co-founder Dandy (dentistry software); 700 employees; Forbes 30U30 2023 Enterprise Tech,forbes_30u30
Jeremy Zhang,https://www.forbes.com/profile/jeremy-zhang/,AI/Tech Founder,1997,Web,Co-founder Finch (HR/payroll tools); $19M raised; YC alum; Forbes 30U30 2023 Enterprise Tech,forbes_30u30;yc_founders
Akshaya Dinesh,https://www.forbes.com/30-under-30/2023/enterprise-technology/,AI/Tech Founder,2001,Web,Founder Spellbound (interactive email); Thiel Fellow; Forbes 30U30 2023 Enterprise Tech youngest,forbes_30u30
Zara Perumal,https://www.forbes.com/profile/zara-perumal/,AI/Tech Founder,2000,Web,Co-founder Overwatch Data (AI risk detection); $2.3M raised; ex-Google ML; Forbes 30U30 2023 Enterprise Tech,forbes_30u30
Deepak Chhugani,https://www.forbes.com/30-under-30/2023/enterprise-technology/,AI/Tech Founder,1997,Web,Founder Nuvocargo (cross-border logistics); Forbes 30U30 2023 Enterprise Tech,forbes_30u30
Jayesh Gadewar,https://www.forbesindia.com/article/30-under-30-2023/jayesh-gadewar-geek-who-leads-from-the-front/83061/1,AI/Tech Founder,1998,Web,Co-founder/CTO Scrut Automation (GRC); $3.1M raised; Forbes India 30U30 2023 Enterprise Tech,forbes_30u30
