name,handle_or_url,category,birth_year,platform,known_for,source_list
21 Savage,https://en.wikipedia.org/wiki/21_Savage,Music artist,1992,Internet/YouTube,Atlanta rap; Bank Account; internet-built following,
Gunna,https://en.wikipedia.org/wiki/Gunna,Music artist,1993,Internet/Streaming,Drip Too Hard; streaming-era rap,
Lil Baby,https://en.wikipedia.org/wiki/Lil_Baby,Music artist,1994,Internet/Streaming,Drip Too Hard; Grammy nominated; streaming-era rap,
Yung Lean,https://en.wikipedia.org/wiki/Yung_Lean,Music artist,1996,YouTube/SoundCloud,Ginseng Strip 2002 viral; sad boys; internet cult icon,
Bladee,https://en.wikipedia.org/wiki/Bladee,Music artist,1994,SoundCloud/Internet,Drain Gang; hyperpop pioneer; internet cult following,
Sheck Wes,https://en.wikipedia.org/wiki/Sheck_Wes,Music artist,1998,Internet/Streaming,Mo Bamba viral; Travis Scott co-sign,
Rina Sawayama,https://en.wikipedia.org/wiki/Rina_Sawayama,Music artist,1990,YouTube/Internet,Internet-built pop; SAWAYAMA; critical acclaim,
Arlo Parks,https://en.wikipedia.org/wiki/Arlo_Parks,Music artist,2000,Internet/Streaming,UK poet-pop; Mercury Prize; internet-built,
Declan McKenna,https://en.wikipedia.org/wiki/Declan_McKenna,Music artist,1998,YouTube,Brazil YouTube viral; indie pop; Glastonbury,
Omar Apollo,https://en.wikipedia.org/wiki/Omar_Apollo,Music artist,1997,YouTube/Streaming,Internet-built bilingual indie-pop; Grammy nominated,
SZA,https://en.wikipedia.org/wiki/SZA,Music artist,1989,Internet/Streaming,TDE; Ctrl; streaming-era R&B; Grammy winner,
Madison Beer,https://en.wikipedia.org/wiki/Madison_Beer,Music artist,1999,YouTube/Instagram,YouTube covers; Justin Bieber co-sign; TikTok presence,
