candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,candidate-09-01-margaret-hamilton,Margaret Hamilton,1936,BUSINESSPERSON,United States,F,51,75.219189,https://en.wikipedia.org/?curid=28196618,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
2,candidate-09-02-harry-kroto,Harry Kroto,1939,CHEMIST,United Kingdom,M,60,71.51428,https://en.wikipedia.org/?curid=14467,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
3,candidate-09-03-dennis-ritchie,Dennis Ritchie,1941,COMPUTER SCIENTIST,United States,M,84,71.286665,https://en.wikipedia.org/?curid=8218,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
4,candidate-09-04-joseph-hooton-taylor-jr.,Joseph Hooton Taylor Jr.,1941,ASTRONOMER,United States,M,66,77.511238,https://en.wikipedia.org/?curid=499509,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
5,candidate-09-05-larry-fink,Larry Fink,1952,BUSINESSPERSON,United States,M,25,71.011428,https://en.wikipedia.org/?curid=2152572,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
6,candidate-09-06-robert-kardashian,Robert Kardashian,1944,BUSINESSPERSON,United States,M,33,70.898837,https://en.wikipedia.org/?curid=333012,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
7,candidate-09-07-hugh-everett-iii,Hugh Everett III,1930,PHYSICIST,United States,M,34,71.677554,https://en.wikipedia.org/?curid=543420,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
8,candidate-09-08-elizabeth-blackburn,Elizabeth Blackburn,1948,BIOLOGIST,Australia,F,74,72.127899,https://en.wikipedia.org/?curid=989870,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
9,candidate-09-09-françoise-barré-sinoussi,Françoise Barré-Sinoussi,1947,BIOLOGIST,France,F,74,73.094672,https://en.wikipedia.org/?curid=19632164,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
10,candidate-09-10-andrew-wiles,Andrew Wiles,1953,MATHEMATICIAN,Germany,M,62,69.988614,https://en.wikipedia.org/?curid=2027,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
11,candidate-09-11-kip-thorne,Kip Thorne,1940,PHYSICIST,United States,M,62,71.677972,https://en.wikipedia.org/?curid=238517,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
12,candidate-09-12-heinrich-rohrer,Heinrich Rohrer,1933,PHYSICIST,Switzerland,M,67,75.307716,https://en.wikipedia.org/?curid=7790184,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
