candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,candidate-04-01-richard-branson,Richard Branson,1950,BUSINESSPERSON,United Kingdom,M,67,71.221352,https://en.wikipedia.org/?curid=93759,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
2,candidate-04-02-yves-chauvin,Yves Chauvin,1930,CHEMIST,Belgium,M,59,73.34766,https://en.wikipedia.org/?curid=2838121,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
3,candidate-04-03-gérard-mourou,Gérard Mourou,1944,PHYSICIST,France,M,56,69.956043,https://en.wikipedia.org/?curid=2142322,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
4,candidate-04-04-horst-ludwig-störmer,Horst Ludwig Störmer,1949,PHYSICIST,Germany,M,66,71.828297,https://en.wikipedia.org/?curid=1621554,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
5,candidate-04-05-christiane-nüsslein-volhard,Christiane Nüsslein-Volhard,1942,BIOLOGIST,Germany,F,65,70.901513,https://en.wikipedia.org/?curid=222990,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
6,candidate-04-06-john-sulston,John Sulston,1942,BIOLOGIST,United Kingdom,M,53,75.522077,https://en.wikipedia.org/?curid=711867,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
7,candidate-04-07-aga-khan-iv,Aga Khan IV,1936,BUSINESSPERSON,Switzerland,M,45,73.314443,https://en.wikipedia.org/?curid=505542,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
8,candidate-04-08-ralph-m.-steinman,Ralph M. Steinman,1943,BIOLOGIST,Canada,M,55,71.77197,https://en.wikipedia.org/?curid=13305393,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
9,candidate-04-09-robert-huber,Robert Huber,1937,CHEMIST,Germany,M,51,70.478826,https://en.wikipedia.org/?curid=1322930,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
10,candidate-04-10-richard-f.-heck,Richard F. Heck,1931,CHEMIST,United States,M,59,70.882601,https://en.wikipedia.org/?curid=17951090,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
11,candidate-04-11-jeffrey-epstein,Jeffrey Epstein,1953,BUSINESSPERSON,United States,M,51,76.089002,https://en.wikipedia.org/?curid=6253522,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
12,candidate-04-12-steven-weinberg,Steven Weinberg,1933,PHYSICIST,United States,M,74,71.326675,https://en.wikipedia.org/?curid=205859,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
