candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,candidate-05-01-larry-ellison,Larry Ellison,1944,BUSINESSPERSON,United States,M,64,72.677178,https://en.wikipedia.org/?curid=172395,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
2,candidate-05-02-robert-woodrow-wilson,Robert Woodrow Wilson,1936,ASTRONOMER,United States,M,78,73.410849,https://en.wikipedia.org/?curid=318514,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
3,candidate-05-03-gerd-binnig,Gerd Binnig,1947,PHYSICIST,Germany,M,72,73.154461,https://en.wikipedia.org/?curid=7790085,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
4,candidate-05-04-tim-berners-lee,Tim Berners-Lee,1955,COMPUTER SCIENTIST,United Kingdom,M,140,75.04771,https://en.wikipedia.org/?curid=30034,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
5,candidate-05-05-anton-zeilinger,Anton Zeilinger,1945,PHYSICIST,Austria,M,52,69.760381,https://en.wikipedia.org/?curid=918635,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
6,candidate-05-06-jeff-bezos,Jeff Bezos,1964,BUSINESSPERSON,United States,M,96,81.129053,https://en.wikipedia.org/?curid=142528,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
7,candidate-05-07-jerome-isaac-friedman,Jerome Isaac Friedman,1930,PHYSICIST,United States,M,64,72.20887,https://en.wikipedia.org/?curid=728900,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
8,candidate-05-08-michael-houghton,Michael Houghton,1949,BIOLOGIST,United Kingdom,M,48,72.025765,https://en.wikipedia.org/?curid=41549416,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
9,candidate-05-09-riccardo-giacconi,Riccardo Giacconi,1931,ASTRONOMER,Italy,M,76,74.696887,https://en.wikipedia.org/?curid=101136,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
10,candidate-05-10-avram-hershko,Avram Hershko,1937,CHEMIST,Hungary,M,56,73.088125,https://en.wikipedia.org/?curid=1043960,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
11,candidate-05-11-albert-fert,Albert Fert,1938,PHYSICIST,France,M,73,74.954843,https://en.wikipedia.org/?curid=1810816,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
12,candidate-05-12-carl-sagan,Carl Sagan,1934,ASTRONOMER,United States,M,101,76.232158,https://en.wikipedia.org/?curid=6824,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
