candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,candidate-10-01-john-e.-walker,John E. Walker,1941,CHEMIST,United Kingdom,M,55,71.020531,https://en.wikipedia.org/?curid=1890999,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
2,candidate-10-02-satoshi-nakamoto,Satoshi Nakamoto,1975,COMPUTER SCIENTIST,Japan,M,54,78.042935,https://en.wikipedia.org/?curid=30128660,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
3,candidate-10-03-sheldon-lee-glashow,Sheldon Lee Glashow,1932,PHYSICIST,United States,M,67,78.53011,https://en.wikipedia.org/?curid=396721,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
4,candidate-10-04-luc-montagnier,Luc Montagnier,1932,BIOLOGIST,France,M,69,75.421172,https://en.wikipedia.org/?curid=837251,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
5,candidate-10-05-jimmy-wales,Jimmy Wales,1966,INVENTOR,United States,M,185,75.195418,https://en.wikipedia.org/?curid=3703446,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
6,candidate-10-06-peter-grünberg,Peter Grünberg,1939,PHYSICIST,Czechia,M,74,75.224967,https://en.wikipedia.org/?curid=1805003,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
7,candidate-10-07-ratko-janev,Ratko Janev,1939,PHYSICIST,Bulgaria,M,50,69.791836,https://en.wikipedia.org/?curid=37531982,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
8,candidate-10-08-dian-fossey,Dian Fossey,1932,BIOLOGIST,United States,F,66,72.496327,https://en.wikipedia.org/?curid=168280,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
9,candidate-10-09-neil-degrasse-tyson,Neil deGrasse Tyson,1958,ASTRONOMER,United States,M,67,74.940979,https://en.wikipedia.org/?curid=1972777,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
10,candidate-10-10-paul-cohen,Paul Cohen,1934,MATHEMATICIAN,United States,M,39,71.363611,https://en.wikipedia.org/?curid=22994,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
11,candidate-10-11-burton-richter,Burton Richter,1931,PHYSICIST,United States,M,65,72.385921,https://en.wikipedia.org/?curid=396684,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
12,candidate-10-12-bernard-arnault,Bernard Arnault,1949,BUSINESSPERSON,France,M,58,77.914748,https://en.wikipedia.org/?curid=882504,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
