candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,candidate-08-01-george-smoot,George Smoot,1945,PHYSICIST,United States,M,67,72.030406,https://en.wikipedia.org/?curid=7267936,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
2,candidate-08-02-melvin-schwartz,Melvin Schwartz,1932,PHYSICIST,United States,M,63,71.246403,https://en.wikipedia.org/?curid=2205765,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
3,candidate-08-03-tu-youyou,Tu Youyou,1930,CHEMIST,China,F,85,74.881371,https://en.wikipedia.org/?curid=33065882,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
4,candidate-08-04-tim-cook,Tim Cook,1960,BUSINESSPERSON,United States,M,64,76.971105,https://en.wikipedia.org/?curid=46878774,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
5,candidate-08-05-katalin-karikó,Katalin Karikó,1955,CHEMIST,Hungary,F,59,71.306628,https://en.wikipedia.org/?curid=63780788,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
6,candidate-08-06-michio-kaku,Michio Kaku,1947,PHYSICIST,United States,M,65,71.014445,https://en.wikipedia.org/?curid=348746,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
7,candidate-08-07-george-e.-smith,George E. Smith,1930,PHYSICIST,United States,M,64,72.944296,https://en.wikipedia.org/?curid=3626383,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
8,candidate-08-08-boris-berezovsky,Boris Berezovsky,1946,BUSINESSPERSON,Russia,M,47,72.252863,https://en.wikipedia.org/?curid=355478,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
9,candidate-08-09-bernie-ecclestone,Bernie Ecclestone,1930,BUSINESSPERSON,United Kingdom,M,43,70.863829,https://en.wikipedia.org/?curid=411352,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
10,candidate-08-10-frances-e.-allen,Frances E. Allen,1932,COMPUTER SCIENTIST,United States,F,41,70.82115,https://en.wikipedia.org/?curid=9352739,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
11,candidate-08-11-erwin-neher,Erwin Neher,1944,BIOLOGIST,Germany,M,53,70.670307,https://en.wikipedia.org/?curid=762732,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
12,candidate-08-12-barbara-liskov,Barbara Liskov,1939,COMPUTER SCIENTIST,United States,F,47,71.50032,https://en.wikipedia.org/?curid=1507538,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
