name,birth_year,occupation,notes
Sanjay Ghemawat,1966,researcher,Google infrastructure
Amit Singhal,1968,researcher,Google Search
Yann LeCun,1960,researcher,deep learning/CNN
Geoffrey Hinton,1947,researcher,deep learning/backprop
Joshua Bengio,1964,researcher,deep learning
Yoshua Bengio,1964,researcher,deep learning
Andrew Ng,1976,researcher,deep learning/Coursera
Daphne Koller,1968,researcher,Coursera/probabilistic
Sebastian Thrun,1967,researcher,self-driving/Udacity
Fei-Fei Li,1973,researcher,ImageNet
Ian Goodfellow,1985,researcher,GANs
Andrej Karpathy,1986,researcher,deep learning/Tesla
