name,birth_year,occupation,notes
Bernard Widrow,1929,researcher,ADALINE
Ted Codd,1923,researcher,relational DB
Michael Jordan,1957,researcher,machine learning
Judea Pearl,1936,researcher,Bayesian networks
Thomas Bayes,1701,researcher,Bayes theorem
Pierre-Simon Laplace,1749,researcher,Bayesian/probability
Andrey Kolmogorov,1903,researcher,probability theory
William Feller,1906,researcher,probability
Joseph Doob,1910,researcher,stochastic processes
John Tukey,1915,researcher,FFT/statistics
James Cooley,1926,researcher,FFT
R. W. Hamming,1915,researcher,Hamming code
