name,birth_year,occupation,notes
Peter Landin,1930,researcher,lambda calculus
John C. Reynolds,1935,researcher,programming languages
Robin Milner,1934,researcher,ML/Hindley-Milner
Christopher Strachey,1916,researcher,programming languages
Peter Wegner,1932,researcher,OOP
Betty Holberton,1917,programmer,ENIAC/COBOL
Jean Bartik,1924,programmer,ENIAC
Frances Spence,1922,programmer,ENIAC
Kathleen Antonelli,1921,programmer,ENIAC
Ruth Lichterman,1924,programmer,ENIAC
Frances Bilas,1922,programmer,ENIAC
Marlyn Wescoff,1921,programmer,ENIAC
