name,birth_year,occupation,notes
Leonid Levin,1948,researcher,NP-completeness
Juris Hartmanis,1928,researcher,complexity classes
Manuel Blum,1934,researcher,complexity
Michael Rabin,1931,researcher,automata/crypto
Dana Scott,1932,researcher,automata
John Hopcroft,1939,researcher,algorithms
Robert Tarjan,1948,researcher,algorithms
Tony Hoare,1934,researcher,quicksort/CSP
Niklaus Wirth,1934,programmer,Pascal
Peter Naur,1928,researcher,BNF/programming
John Backus,1924,programmer,Fortran
Kenneth Iverson,1920,programmer,APL
