name,birth_year,occupation,notes
Jennifer Rexford,1969,researcher,routing
Hector Garcia-Molina,1953,researcher,databases
Raghu Ramakrishnan,1962,researcher,databases
Jim Gray,1944,researcher,databases
Michael Stonebraker,1943,researcher,Postgres
Edgar Codd,1923,researcher,relational model
C.J. Date,1941,researcher,relational theory
Don Chamberlin,1944,researcher,SQL
Ray Boyce,1947,researcher,SQL
Ronald Rivest,1947,researcher,RSA
Adi Shamir,1952,researcher,RSA
Leonard Adleman,1945,researcher,RSA
