name,birth_year,occupation,notes
James Clark,1964,programmer,XML/SGML
Dave Winer,1955,programmer,RSS/XML-RPC
Adam Curry,1964,founder,podcasting
Ben Goodger,1980,programmer,Firefox/Chrome
Sundar Pichai,1972,founder,Google CEO
Marissa Mayer,1975,founder,Yahoo CEO
Sheryl Sandberg,1969,founder,Facebook COO
Susan Wojcicki,1968,founder,YouTube CEO
Anne Wojcicki,1973,founder,23andMe
Eric Schmidt,1955,founder,Google CEO
Urs Hölzle,1962,engineer,Google infrastructure
Jeff Dean,1968,researcher,Google MapReduce/BigTable
