name,birth_year,occupation,notes
Radia Perlman,1951,engineer,STP inventor
Paul Baran,1926,engineer,packet switching
Donald Davies,1924,engineer,packet switching
Leonard Kleinrock,1934,engineer,packet switching
J.C.R. Licklider,1915,engineer,ARPA computing vision
Douglas Engelbart,1925,engineer,mouse inventor
Alan Kay,1940,engineer,Smalltalk/OOP
Seymour Papert,1928,engineer,Logo/constructivism
Marvin Minsky,1927,researcher,AI pioneer
John McCarthy,1927,researcher,Lisp/AI
Norbert Wiener,1894,researcher,cybernetics
Konrad Zuse,1910,engineer,first programmable computer
