name,birth_year,occupation,notes
Adele Goldstine,1920,programmer,ENIAC docs
Mary K. Hawes,1927,programmer,COBOL
Jean Sammet,1928,programmer,COBOL
Erna Schneider Hoover,1926,engineer,computerized telephone switching
Karen Spärck Jones,1935,researcher,IR/NLP
Adele Goldberg,1945,researcher,Smalltalk
Wendy Hall,1952,researcher,hypermedia
Judith Estrin,1953,founder,networking companies
Sandy Lerner,1952,founder,Cisco co-founder
Len Bosack,1952,founder,Cisco co-founder
Andy Bechtolsheim,1955,founder,Sun/Cisco investor
Vinod Khosla,1955,founder,Sun co-founder
