name,birth_year,occupation,notes
Oskar Morgenstern,1902,researcher,game theory
Lloyd Shapley,1923,researcher,game theory
Alvin Roth,1951,researcher,market design
David Gale,1921,researcher,game theory
Herbert Simon,1916,researcher,AI/decision theory
Allen Newell,1927,researcher,AI
Edward Feigenbaum,1936,researcher,expert systems
Terry Winograd,1946,researcher,SHRDLU/NLP
Roger Schank,1946,researcher,NLP
Raj Reddy,1937,researcher,speech/AI
Frederick Jelinek,1932,researcher,speech recognition
Lawrence Rabiner,1943,researcher,speech/DSP
