name,birth_year,occupation,notes
Chris DeWolf,1966,founder,MySpace co-founder
Mark Pincus,1966,founder,Zynga founder
Kevin Rose,1977,founder,Digg founder
Joshua Schachter,1974,founder,Delicious founder
Caterina Fake,1969,founder,Flickr co-founder
Stewart Butterfield,1973,founder,Flickr/Slack founder
Phil Zimmermann,1954,programmer,PGP creator
Dries Buytaert,1978,programmer,Drupal founder
Rasmus Lerdorf,1968,programmer,PHP creator
Guido van Rossum,1956,programmer,Python creator
Larry Wall,1954,programmer,Perl creator
Yukihiro Matsumoto,1965,programmer,Ruby creator
