name,birth_year,occupation,notes
Whitfield Diffie,1944,researcher,public-key crypto
Martin Hellman,1945,researcher,public-key crypto
Ralph Merkle,1952,researcher,public-key crypto
Bruce Schneier,1963,researcher,cryptography
Phil Rogaway,1964,researcher,cryptography
Mihir Bellare,1962,researcher,cryptography
Shafi Goldwasser,1958,researcher,cryptography
Silvio Micali,1954,researcher,cryptography
Avi Wigderson,1956,researcher,complexity
Leslie Valiant,1949,researcher,complexity
Richard Karp,1935,researcher,complexity
Stephen Cook,1939,researcher,NP-completeness
