name,birth_year,occupation,notes
James Flanagan,1925,researcher,speech
Thomas Kailath,1935,researcher,signal processing
Alan Oppenheim,1937,researcher,signal processing
Ronald Schafer,1938,researcher,signal processing
Bernard Gold,1925,researcher,DSP
Charles Rader,1936,researcher,FFT
Gordon Moore,1929,founder,Intel/Moore's law
Robert Noyce,1927,founder,Intel/co-inventor IC
Andy Grove,1936,founder,Intel CEO
Arthur Rock,1926,founder,venture capital
Eugene Kleiner,1923,founder,Kleiner Perkins
Tom Perkins,1932,founder,Kleiner Perkins
