name,birth_year,occupation,notes
Brian Acton,1972,founder,WhatsApp co-founder
Jan Koum,1970,founder,WhatsApp co-founder
Ben Silbermann,1982,founder,Pinterest founder
Jack Dorsey,1976,founder,Twitter/Square founder
Biz Stone,1974,founder,Twitter co-founder
Evan Williams,1972,founder,Twitter/Blogger founder
Noah Glass,1981,founder,Twitter co-founder
Chad Hurley,1977,founder,YouTube co-founder
Reed Hastings,1960,founder,Netflix founder
Pierre Omidyar,1967,founder,eBay founder
Larry Ellison,1944,founder,Oracle founder
Tom Anderson,1970,founder,MySpace co-founder
