name,birth_year,occupation,notes
Wojciech Zaremba,1987,researcher,OpenAI
Greg Brockman,1987,founder,OpenAI
Demis Hassabis,1976,founder,DeepMind
Mustafa Suleyman,1984,founder,DeepMind
Shane Legg,1973,founder,DeepMind
David Silver,1976,researcher,AlphaGo
Volodymyr Mnih,1982,researcher,DQN
Arthur Samuel,1901,researcher,machine learning
Frank Rosenblatt,1928,researcher,perceptron
Oliver Selfridge,1926,researcher,pattern recognition
Walter Pitts,1923,researcher,neural networks
Warren McCulloch,1898,researcher,neural networks
