name,birth_year,occupation,notes
Brendan Eich,1961,programmer,JavaScript creator
James Gosling,1955,programmer,Java creator
Bjarne Stroustrup,1950,programmer,C++ creator
Anders Hejlsberg,1960,programmer,Turbo Pascal/Delphi/C# creator
Dennis Ritchie,1941,programmer,C/Unix creator
Brian Kernighan,1942,programmer,K&R C book
Rob Pike,1956,programmer,Plan 9/Go
Dave Cutler,1942,programmer,Windows NT/VMS
Tim Berners-Lee,1955,engineer,WWW inventor
Vint Cerf,1943,engineer,TCP/IP co-designer
Bob Kahn,1938,engineer,TCP/IP co-designer
Jon Postel,1943,engineer,DNS/RFC editor
