candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
355,candidate-0355-andrás-arató,András Arató,1945,MODEL,Hungary,M,21,65.60,https://en.wikipedia.org/?curid=63267005,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
281,candidate-0281-joachim-frank,Joachim Frank,1940,CHEMIST,Germany,M,44,68.69,https://en.wikipedia.org/?curid=53754223,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
60,candidate-0060-catherine-deneuve,Catherine Deneuve,1943,ACTOR,France,F,76,79.35,https://en.wikipedia.org/?curid=45379,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
244,candidate-0244-dražen-dalipagić,Dražen Dalipagić,1951,BASKETBALL PLAYER,Bosnia and Herzegovina,M,31,70.53,https://en.wikipedia.org/?curid=4748534,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
387,candidate-0387-yuriy-sedykh,Yuriy Sedykh,1955,ATHLETE,Russia,M,40,64.35,https://en.wikipedia.org/?curid=805838,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
290,candidate-0290-françois-cevert,François Cevert,1944,RACING DRIVER,France,M,31,68.28,https://en.wikipedia.org/?curid=598118,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
231,candidate-0231-martina-navratilova,Martina Navratilova,1956,TENNIS PLAYER,Czechia,F,80,71.15,https://en.wikipedia.org/?curid=198092,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
381,candidate-0381-lasse-virén,Lasse Virén,1949,ATHLETE,Finland,M,41,64.55,https://en.wikipedia.org/?curid=676210,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
30,candidate-0030-anni-frid-lyngstad,Anni-Frid Lyngstad,1945,SINGER,Norway,F,63,82.46,https://en.wikipedia.org/?curid=180568,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
332,candidate-0332-bernard-hinault,Bernard Hinault,1954,CYCLIST,France,M,44,66.54,https://en.wikipedia.org/?curid=284767,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
241,candidate-0241-olga-korbut,Olga Korbut,1955,GYMNAST,Belarus,F,53,70.67,https://en.wikipedia.org/?curid=222871,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
98,candidate-0098-bernard-arnault,Bernard Arnault,1949,BUSINESSPERSON,France,M,58,77.91,https://en.wikipedia.org/?curid=882504,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
