candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
208,candidate-0208-david-cronenberg,David Cronenberg,1943,FILM DIRECTOR,Canada,M,57,72.38,https://en.wikipedia.org/?curid=7892,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
148,candidate-0148-james-cameron,James Cameron,1954,FILM DIRECTOR,Canada,M,102,75.33,https://en.wikipedia.org/?curid=15622,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
147,candidate-0147-emir-kusturica,Emir Kusturica,1954,FILM DIRECTOR,Bosnia and Herzegovina,M,68,75.34,https://en.wikipedia.org/?curid=429800,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
301,candidate-0301-anne-l-huillier,Anne L'Huillier,1958,PHYSICIST,France,F,53,67.95,https://en.wikipedia.org/?curid=42629262,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
239,candidate-0239-ilie-năstase,Ilie Năstase,1946,TENNIS PLAYER,Romania,M,47,70.82,https://en.wikipedia.org/?curid=301406,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
201,candidate-0201-anselm-kiefer,Anselm Kiefer,1945,PAINTER,Germany,M,44,72.93,https://en.wikipedia.org/?curid=836768,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
316,candidate-0316-emmanuelle-charpentier,Emmanuelle Charpentier,1968,BIOLOGIST,France,F,73,67.20,https://en.wikipedia.org/?curid=47056521,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
299,candidate-0299-boris-becker,Boris Becker,1967,TENNIS PLAYER,Germany,M,71,67.96,https://en.wikipedia.org/?curid=201049,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
61,candidate-0061-jimi-hendrix,Jimi Hendrix,1942,MUSICIAN,United States,M,110,79.33,https://en.wikipedia.org/?curid=16095,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
132,candidate-0132-eckhart-tolle,Eckhart Tolle,1948,WRITER,Germany,M,46,76.13,https://en.wikipedia.org/?curid=1338466,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
174,candidate-0174-richard-henderson,Richard Henderson,1945,BIOLOGIST,United Kingdom,M,45,73.98,https://en.wikipedia.org/?curid=6932525,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
85,candidate-0085-dwayne-johnson,Dwayne Johnson,1972,ACTOR,United States,M,101,78.49,https://en.wikipedia.org/?curid=156126,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
